Ville,Nombre de Salons,Population
saint-martin-lez-tatinghem,1,6042
bois-le-roi,1,6025
plescop,1,6022
palavas-les-flots,1,6020
douvaine,1,6019
noyelles-godault,1,6007
coursan,1,6001
lannemezan,1,5996
villemur-sur-tarn,1,5993
sathonay-camp,1,5993
trans-en-provence,2,5983
jonage,1,5978
noves,2,5966
dol-de-bretagne,1,5958
annezin,1,5944
saint-mandrier-sur-mer,1,5931
dourges,3,5931
saint-jorioz,1,5927
saulx-les-chartreux,1,5927
gray,1,5916
nieul-sur-mer,1,5903
tournus,1,5885
fayence,1,5881
izon,1,5875
altkirch,1,5870
saint-galmier,2,5864
challes-les-eaux,1,5864
saint-jory,2,5857
pluneret,1,5855
benfeld,1,5849
roye,4,5848
bellevigne-en-layon,1,5843
calvisson,1,5842
lucciana,1,5829
erdre-en-anjou,3,5829
menucourt,1,5824
carbonne,1,5816
chevreuse,1,5810
plouay,1,5797
santes,1,5778
rabastens,2,5764
riantec,1,5761
aubignan,1,5752
briec,1,5742
bons-en-chablais,2,5736
dives-sur-mer,1,5732
beaurains,1,5729
mirecourt,1,5728
wormhout,1,5718
magny-en-vexin,2,5715
merville,1,5710
lannilis,1,5706
saint-gervais-les-bains,3,5702
montbonnot-saint-martin,1,5692
valdahon,1,5692
simiane-collongue,1,5687
chessy,1,5683
saint-zacharie,2,5682
saint-martin-la-pallu,1,5642
marnaz,1,5637
sainghin-en-weppes,1,5637
port-la-nouvelle,2,5636
sausheim,1,5622
dompierre-sur-mer,1,5621
chagny,2,5616
gan,1,5615
saint-martin-de-seignanx,1,5613
heillecourt,1,5611
marles-les-mines,1,5608
saint-astier,1,5590
saint-memmie,2,5589
le port-marly,1,5589
le barp,1,5587
clapiers,1,5579
nuits-saint-georges,1,5577
genay,1,5574
sigean,1,5571
wallers,1,5565
la ville-aux-dames,2,5562
mouroux,1,5549
grand-champ,1,5535
souppes-sur-loing,1,5498
calonne-ricouart,1,5487
plouhinec,1,5479
saint-georges-de-didonne,1,5471
audruicq,5,5465
loison-sous-lens,1,5457
chazelles-sur-lyon,2,5454
douvrin,2,5449
la souterraine,2,5448
sully-sur-loire,1,5439
faulquemont,2,5394
longuyon,2,5381
valence,3,5377
sillingy,1,5371
mouy,1,5363
penmarch,1,5361
gauchy,3,5360
piolenc,1,5357
saint-privat-des-vieux,1,5309
briare,1,5303
mulsanne,2,5301
montbard,1,5282
salbris,1,5268
rosheim,1,5258
mouguerre,1,5248
morcenx-la-nouvelle,3,5230
condat-sur-vienne,1,5229
vindry-sur-turdine,1,5226
lambres-lez-douai,1,5226
baume-les-dames,1,5226
bauvin,2,5223
sainte-marie-aux-mines,1,5220
fenouillet,1,5219
vittel,1,5216
cancale,1,5211
grans,1,5200
la balme-de-sillingy,1,5199
saint-germain-du-puy,1,5199
drusenheim,1,5196
bogny-sur-meuse,2,5174
marquise,3,5148
bessan,1,5141
argenton-sur-creuse,2,5140
muzillac,1,5139
blendecques,2,5135
yffiniac,1,5117
florensac,1,5099
cluny,2,5098
tourves,1,5097
conches-en-ouche,2,5095
saint-michel-chef-chef,4,5078
beaucourt,2,5070
saint-gilles,2,5066
le quesnoy,2,5065
gruissan,2,5063
saint-sever,3,5053
vernaison,3,5052
plateau d'hauteville,1,5031
desvres,1,5024
pulnoy,2,5021
seichamps,1,5013
beaurepaire,1,5003
bourbon-lancy,3,5000
habsheim,1,4991
le trait,2,4987
phalsbourg,1,4986
lacanau,1,4985
fleury-sur-orne,1,4985
caumont-sur-durance,1,4984
villeneuve-en-retz,3,4982
le bourget-du-lac,1,4964
marvejols,1,4963
val d'erdre-auxence,2,4952
sangatte,1,4946
pauillac,1,4945
graveson,1,4944
maen roch,1,4944
pompey,1,4938
villenoy,1,4935
guise,1,4929
fumel,1,4926
haillicourt,1,4923
herrlisheim,1,4912
saint-paul-en-jarez,1,4904
saint-marcellin-en-forez,1,4898
barbezieux-saint-hilaire,3,4895
bousbecque,1,4877
le versoud,1,4874
rognes,1,4862
mormant,2,4856
barberaz,1,4843
banyuls-sur-mer,1,4838
montigny-en-ostrevent,1,4838
sainte-marie-la-mer,1,4834
billom,1,4825
montville,1,4814
baisieux,1,4813
heyrieux,1,4795
lamotte-beuvron,1,4788
saint-nicolas,2,4788
lisle-sur-tarn,1,4778
dagneux,1,4772
laigneville,1,4772
phalempin,1,4769
auchy-les-mines,1,4765
valleiry,1,4757
mignaloux-beauvoir,1,4751
bretignolles-sur-mer,1,4750
verneuil-en-halatte,1,4747
bouloc,1,4743
saint-martin-des-champs,1,4738
les monts d'aunay,2,4734
lorette,1,4732
vitry-en-artois,1,4726
langeais,2,4718
nozay,1,4715
guesnain,1,4713
ham,2,4708
saint-jean-de-bournay,1,4699
nivillac,1,4696
munster,2,4688
craon,1,4685
friville-escarbotin,1,4672
camaret-sur-aigues,1,4655
avesnes-sur-helpe,1,4642
samer,1,4639
thourotte,1,4632
selles-sur-cher,1,4631
les garennes sur loire,1,4629
saint-marcel,1,4629
sainte-soulle,1,4623
luzarches,2,4620
kaysersberg vignoble,1,4618
robion,1,4603
grimaud,1,4601
soucieu-en-jarrest,1,4598
valence-en-poitou,1,4591
villefranche-de-lauragais,3,4580
saint-pierre-de-chandieu,1,4578
morestel,1,4568
iffendic,2,4561
marans,1,4561
mimet,1,4560
aime-la-plagne,2,4554
breteuil,2,4544
jarnac,1,4536
cours,4,4529
leuville-sur-orge,1,4528
bray-dunes,2,4527
la turballe,1,4523
noues de sienne,1,4523
surzur,1,4520
ornans,2,4517
cabannes,2,4500
maraussan,1,4496
semur-en-auxois,1,4492
vouziers,1,4489
niederbronn-les-bains,1,4488
auberchicourt,2,4480
ardres,1,4475
hallennes-lez-haubourdin,1,4471
is-sur-tille,1,4458
poligny,1,4454
breteuil,2,4454
morigny-champigny,1,4452
villard-de-lans,2,4434
bas-en-basset,1,4432
pons,1,4431
brionne,1,4430
torigny-les-villes,2,4408
flayosc,2,4396
le val,1,4391
gonfaron,1,4380
jouarre,1,4379
le pouliguen,1,4376
le neubourg,1,4375
maintenon,1,4371
clarensac,1,4361
leffrinckoucke,1,4358
sainte-anne,1,4356
la plaine-sur-mer,1,4351
cheval-blanc,1,4351
athis-val de rouvre,1,4343
chaponnay,1,4338
rives de l'yon,1,4335
nanteuil-le-haudouin,2,4334
barbentane,1,4332
vinay,1,4324
vinon-sur-verdon,1,4321
brives-charensac,3,4320
soullans,1,4312
aramon,1,4311
saint-nabord,1,4297
fourchambault,1,4287
plougonvelin,2,4273
saint-just-malmont,1,4270
valras-plage,1,4265
provin,2,4263
pont-de-roide-vermondans,1,4260
terres-de-caux,1,4252
macau,1,4249
pignans,1,4246
duclair,2,4245
prigonrieux,1,4235
sainte-menehould,1,4234
saint-jeannet,1,4234
valgelon-la rochette,1,4215
marckolsheim,1,4215
allevard,1,4210
plumergat,1,4205
port-vendres,1,4204
offemont,1,4204
bapaume,1,4202
ormes,1,4200
nozay,1,4195
bresles,1,4191
ligny-en-barrois,1,4190
saint-mihiel,1,4187
saint-pierre,8,4178
rousson,1,4177
redessan,1,4172
saint-romain-de-colbosc,1,4172
grisolles,1,4169
saint-valery-en-caux,2,4167
saint-savin,2,4156
nogent-le-roi,2,4151
le croisic,1,4147
la tour-de-salvagny,1,4146
la norville,1,4139
la haye,1,4124
biache-saint-vaast,1,4115
truchtersheim,1,4110
caissargues,1,4105
ingwiller,1,4101
chavagne,1,4093
plouhinec,1,4093
anneyron,2,4091
benet,1,4086
aulnat,2,4085
bollwiller,3,4082
