Ville,Nombre de Salons,Population,Habitants par Salon
linselles,1,8469,8469.0
jarny,1,8468,8468.0
lure,3,8409,2803.0
aigues-mortes,2,8401,4200.0
feurs,2,8364,4182.0
le loroux-bottereau,3,8360,2787.0
sautron,1,8350,8350.0
champagnole,4,8346,2086.0
marcoussis,1,8300,8300.0
saint-renan,2,8299,4150.0
la tour-du-pin,3,8286,2762.0
brunstatt-didenheim,1,8220,8220.0
bormes-les-mimosas,1,8218,8218.0
puget-sur-argens,1,8218,8218.0
les andelys,3,8199,2733.0
carbon-blanc,1,8172,8172.0
malemort,2,8151,4076.0
saint-jean-de-maurienne,1,8146,8146.0
langres,3,8146,2715.0
guilers,2,8136,4068.0
villars,1,8128,8128.0
sorbiers,1,8103,8103.0
saint-marcellin,2,8102,4051.0
soustons,2,8068,4034.0
lys-haut-layon,1,8066,8066.0
digoin,2,8060,4030.0
biguglia,1,8050,8050.0
moirans,2,8014,4007.0
epagny metz-tessy,3,8013,2671.0
bouaye,1,7997,7997.0
wintzenheim,1,7996,7996.0
saint-pierre-en-auge,1,7986,7986.0
gourbeyre,1,7979,7979.0
cappelle-la-grande,2,7973,3986.0
aureilhan,1,7967,7967.0
la ricamarie,1,7955,7955.0
trignac,2,7947,3974.0
thann,1,7921,7921.0
achicourt,1,7903,7903.0
rethel,1,7895,7895.0
marseillan,3,7888,2629.0
saint-gilles-croix-de-vie,1,7879,7879.0
meximieux,5,7871,1574.0
faverges-seythenex,1,7856,7856.0
isle,1,7842,7842.0
le soler,3,7822,2607.0
la ville-du-bois,1,7815,7815.0
tullins,1,7801,7801.0
rosporden,1,7791,7791.0
seyssins,1,7791,7791.0
beynes,1,7774,7774.0
jaunay-marigny,2,7766,3883.0
thuir,1,7765,7765.0
wavrin,1,7744,7744.0
auxonne,2,7708,3854.0
barlin,1,7704,7704.0
sisteron,2,7697,3848.0
crozon,2,7697,3848.0
ballancourt-sur-essonne,2,7696,3848.0
saint-denis-en-val,2,7694,3847.0
yssingeaux,2,7667,3834.0
honfleur,1,7652,7652.0
saint-berthevin,1,7585,7585.0
bailly-romainvilliers,1,7582,7582.0
corte,1,7563,7563.0
nieppe,2,7559,3780.0
coulaines,1,7548,7548.0
lesneven,2,7539,3770.0
waziers,2,7519,3760.0
pontcharra,1,7514,7514.0
paimpol,3,7508,2503.0
beaugency,1,7483,7483.0
cavalaire-sur-mer,4,7469,1867.0
ruelle-sur-touvre,1,7406,7406.0
beaufort-en-anjou,1,7383,7383.0
bessancourt,2,7373,3686.0
publier,1,7356,7356.0
migennes,1,7354,7354.0
ugine,1,7332,7332.0
anse,2,7332,3666.0
huningue,1,7326,7326.0
auby,1,7315,7315.0
houdain,1,7307,7307.0
lagnieu,2,7289,3644.0
saujon,2,7279,3640.0
cassis,1,7250,7250.0
morteau,1,7244,7244.0
les trois-bassins,2,7234,3617.0
