Ville,Nombre de Salons,Population
moissac,2,13378
apt,2,11662
tassin-la-demi-lune,2,22691
tourcoing,2,98028
bauvin,2,5223
prahecq,2,2217
mesnils-sur-iton,2,6374
thonon-les-bains,2,35863
anzin,2,13400
la fare-les-oliviers,2,8574
raismes,2,12662
cabannes,2,4500
chagny,2,190
chagny,2,5616
septeuil,2,2372
nogent-sur-seine,2,6097
polliat,2,2572
loon-plage,2,6269
la grave,2,492
rabastens,2,5764
chauffailles,2,3777
charolles,2,3220
oignies,2,9817
la sentinelle,2,3152
vexin-sur-epte,2,6202
saint-ouen,2,3283
saint-ouen,2,1918
meslay-du-maine,2,2945
douvrin,2,5449
cosnes-et-romain,2,2745
saint-brieuc,2,46006
val-cenis,2,2126
pont-saint-vincent,2,1946
tremblay-en-france,2,36345
munchhouse,2,1544
ollioules,2,13972
montigny-en-gohelle,2,10258
montrouge,2,50481
saint-sauveur-le-vicomte,2,2173
bonifacio,2,3173
saint-denis-en-val,2,7694
le grand-quevilly,2,25945
nogent-le-roi,2,4151
elven,2,6137
souchez,2,2531
rivesaltes,2,8773
petit-couronne,2,8809
waziers,2,7519
seissan,2,1102
bonneville,2,13010
bonneville,2,338
beaumont,2,247
beaumont,2,121
beaumont,2,142
beaumont,2,298
beaumont,2,72
beaumont,2,11023
beaumont,2,2905
beaumont,2,642
saint-marcellin,2,8102
saint-jean-pied-de-port,2,1850
pouilley-les-vignes,2,2004
auxonne,2,7708
saint-amant-tallende,2,1780
gasny,2,3139
romorantin-lanthenay,2,18246
connaux,2,1708
nouvion,2,1342
bon-encontre,2,6346
conches-en-ouche,2,5095
hautmont,2,14675
fontenay-sous-bois,2,53418
wingles,2,8830
bart,2,2033
bray-dunes,2,4527
trignac,2,7947
lapalisse,2,3201
elbeuf,2,16308
guilherand-granges,2,11204
bernos-beaulac,2,1127
duclair,2,4245
castelculier,2,2427
sierck-les-bains,2,1769
flayosc,2,4396
nyons,2,6980
saint-martin-de-crau,2,13656
saint-gilles,2,13711
saint-gilles,2,5066
saint-gilles,2,111
saint-gilles,2,958
saint-gilles,2,297
saint-gilles,2,280
ouveillan,2,2513
bavans,2,3700
hazebrouck,2,21999
bouc-bel-air,2,14946
oissel,2,11981
pointe-à-pitre,2,16048
saint-zacharie,2,5682
sours,2,2121
plouguerneau,2,6735
monistrol-sur-loire,2,9138
le quesnoy,2,5065
isigny-sur-mer,2,3684
suresnes,2,48736
crulai,2,873
pernes-les-fontaines,2,9883
savenay,2,8856
lamorlaye,2,9117
sarras,2,2234
saint-cyprien,2,390
saint-cyprien,2,1595
saint-cyprien,2,2515
saint-cyprien,2,10677
ham,2,4708
privas,2,8606
warloy-baillon,2,764
argenton-sur-creuse,2,5140
saint-jean-de-monts,2,8843
tigy,2,2363
chilly-mazarin,2,20320
borgo,2,8900
serre-les-sapins,2,1667
bouzonville,2,4027
orsay,2,16753
obernai,2,11738
figeac,2,10473
nogent-sur-oise,2,20395
haspres,2,2762
le grau-du-roi,2,8595
breuil-le-sec,2,2686
cucuron,2,1799
puilboreau,2,6299
provin,2,4263
vennecy,2,1849
saint-julien,2,1497
saint-julien,2,2100
saint-julien,2,223
saint-julien,2,873
saint-julien,2,2450
saint-julien,2,112
marsas,2,1226
marsas,2,74
lannion,2,20852
munster,2,249
munster,2,4688
la riche,2,10543
bains-sur-oust,2,3609
carquefou,2,20238
cercy-la-tour,2,1772
salon-de-provence,2,46110
saint-galmier,2,5864
saint-laurent,2,1275
saint-laurent,2,512
saint-laurent,2,504
saint-laurent,2,704
saint-laurent,2,182
saint-laurent,2,529
saint-laurent,2,858
ploemeur,2,18536
fresnes,2,173
fresnes,2,1182
fresnes,2,66
fresnes,2,27905
freyming-merlebach,2,12960
bordes,2,2924
bordes,2,780
sainte-anne-sur-brivet,2,3019
villemomble,2,30152
saint-savin,2,3245
saint-savin,2,4156
saint-savin,2,380
saint-savin,2,862
bois-guillaume,2,14171
paray-le-monial,2,9639
royan,2,18949
villecresnes,2,10516
val d'erdre-auxence,2,4952
guyancourt,2,29065
marly,2,10342
marly,2,11977
breuillet,2,2975
breuillet,2,8513
riorges,2,11070
cenon,2,24975
eyrans,2,782
trans-en-provence,2,5983
tarascon,2,14953
coutances,2,9705
sorgues,2,18924
bezons,2,29508
moret-loing-et-orvanne,2,12552
carmaux,2,9659
foix,2,9863
dommartin,2,724
dommartin,2,174
dommartin,2,2674
dommartin,2,353
vervins,2,2660
le cannet,1,41864
autreville,1,827
autreville,1,188
argentan,1,14208
andres,1,1573
saint-romans,1,1819
giat,1,855
messigny-et-vantoux,1,1690
frouzins,1,9177
bresse vallons,1,2327
le lavandou,1,6047
fougerolles-du-plessis,1,1220
biscarrosse,1,14561
avesnes-le-comte,1,1932
corbelin,1,2282
saint-aignan,1,151
saint-aignan,1,216
saint-aignan,1,2924
saint-aignan,1,618
