Ville,Nombre de Salons
mezieres-sur-seine,2
chateaumeillant,2
plouguerneau,2
monistrol-sur-loire,2
le quesnoy,2
isigny-sur-mer,2
suresnes,2
marseille 8,2
sotteville-les-rouen,2
crulai,2
ville d'avray,2
pernes-les-fontaines,2
l'albenc,2
teille,2
savenay,2
origny-en-thierache,2
lamorlaye,2
sarras,2
saint-cyprien,2
sezanne,2
ham,2
mont-pres-chambord,2
privas,2
conde-en-normandie,2
warloy-baillon,2
argenton-sur-creuse,2
saint-jean-de-monts,2
domerat,2
tigy,2
chilly-mazarin,2
borgo,2
serre-les-sapins,2
bouzonville,2
orsay,2
obernai,2
figeac,2
nogent-sur-oise,2
haspres,2
le grau-du-roi,2
breuil-le-sec,2
cucuron,2
puilboreau,2
provin,2
serignan,2
vendome,2
vennecy,2
saint symphorien d'ozon,2
saint-julien,2
marsas,2
lannion,2
munster,2
la riche,2
sainte-foy-les-lyon,2
bains-sur-oust,2
livron-sur-drome,2
marseille 12,2
carquefou,2
cercy-la-tour,2
salon-de-provence,2
saint-galmier,2
lucon,2
saint-laurent,2
ploemeur,2
fresnes,2
ploudalmezeau,2
freyming-merlebach,2
chateaubourg,2
bordes,2
sainte-anne-sur-brivet,2
villemomble,2
saint-savin,2
bois-guillaume,2
paray-le-monial,2
royan,2
l'aiguillon-la-presqu'ile,2
villecresnes,2
val d'erdre-auxence,2
gonfreville l'orcher,2
guyancourt,2
marly,2
breuillet,2
saint-jeoire-prieure,2
riorges,2
cenon,2
eyrans,2
trans-en-provence,2
tarascon,2
coutances,2
sorgues,2
bezons,2
moret-loing-et-orvanne,2
longuenee-en-anjou,2
locmine,2
carmaux,2
foix,2
dommartin,2
saint-andre-de-cubzac,2
vervins,2
eperlecques,1
le cannet,1
autreville,1
argentan,1
andres,1
saint-romans,1
giat,1
messigny-et-vantoux,1
frouzins,1
paris 8,1
bresse vallons,1
le lavandou,1
queven,1
clermont-creans,1
fougerolles-du-plessis,1
biscarrosse,1
avesnes-le-comte,1
corbelin,1
saint-aignan,1
ballots,1
arcangues,1
quintin,1
tournay,1
buchelay,1
grand-champ,1
haute-amance,1
pluneret,1
trevillers,1
amancy,1
vieux-charmont,1
allaire,1
stenay,1
lons-le-saunier,1
briouze,1
exincourt,1
mutzig,1
florensac,1
plouedern,1
breuil-barret,1
ingwiller,1
borne,1
thury,1
villieu-loyes-mollon,1
la charite-sur-loire,1
le folgoet,1
vindecy,1
rumersheim-le-haut,1
luneville,1
la trinite,1
saix,1
ars-en-re,1
gailleres,1
saint-clar,1
cambo-les-bains,1
givrand,1
sannois,1
arcis-sur-aube,1
saint-martin-lez-tatinghem,1
pleslin-trigavou,1
bains,1
camps-la-source,1
saint-jean-le-vieux,1
criel-sur-mer,1
villefranche-de-panat,1
magescq,1
soliers,1
saint-alban-leysse,1
dammarie,1
marans,1
vagney,1
chatellerault,1
muides-sur-loire,1
villeneuve-sur-bellot,1
saint-laurent-de-chamousset,1
alby-sur-cheran,1
chabreloche,1
vandieres,1
lalevade d'ardeche,1
mignieres,1
les belleville,1
epernon,1
allonne,1
thorigny-sur-marne,1
chatenay,1
emmerin,1
bray-et-lu,1
la turballe,1
lanester,1
saint-thurien,1
bessan,1
meriel,1
renaze,1
thiberville,1
le chateau d'oleron,1
ry,1
luri,1
champsecret,1
chorges,1
monteleger,1
treveray,1
perrignier,1
plaudren,1
altkirch,1
saint-amand-en-puisaye,1
saint-rambert-en-bugey,1
faches-thumesnil,1
arcachon,1
warluis,1
moustoir-ac,1
hudimesnil,1
vendeuvre-sur-barse,1
arsac-en-velay,1
javerlhac-la-chapelle-st-robert,1
ax-les-thermes,1
saint-calais,1
falleron,1
anlezy,1
riviere-pilote,1
varennes-sur-allier,1
boissy-saint-leger,1
goussainville,1
inchy-en-artois,1
jayat,1
valleiry,1
calan,1
nerac,1
rodilhan,1
beaufay,1
mauleon,1
aulnoye-aymeries,1
docelles,1
gourbeyre,1
batz-sur-mer,1
baulay,1
saint-fons,1
neufchef,1
meyenheim,1
thann,1
gironcourt-sur-vraine,1
vaires-sur-marne,1
saint-pierre-de-belleville,1
la cambe,1
guessling-hemering,1
saultain,1
le neubourg,1
brecey,1
